English Word,French Word,Frequency
abide,respecter,37
about,sur,403
above,au dessus,146
abroad,à l'étranger,64
absence,absence,55
abuse,abuser de,47
according,selon,45
account,Compte,45
accuse,accuser,38
acquainted,connaissance,40
action,action,115
advantage,avantage,72
advice,Conseil,43
affairs,affaires,68
affection,affection,73
affections,affections,39
afraid,peur,41
after,après,419
afterwards,ensuite,38
again,encore,767
alive,vivant,90
almost,presque,160
alone,seul,236
along,le long de,112
already,déjà,148
although,bien que,79
always,toujours,63
ambition,ambition,45
ancient,ancien,78
angel,ange,53
anger,colère,54
another,un autre,429
answer,répondre,382
anything,n'importe quoi,105
apparel,vêtements,40
appear,apparaître,129
appears,apparaît,50
approach,approche,73
argument,argument,67
ariel,Ariel,91
armour,armure,41
aside,de côté,466
asleep,endormi,60
assure,assurer,50
athens,Athènes,71
attend,assister,116
attended,assisté,45
authority,autorité,55
avoid,éviter,38
awake,éveillé,78
awhile,quelque temps,102
banish,bannir,37
barren,Dénudé,41
bassianus,bassianus,42
bastard,Connard,205
battle,bataille,113
beard,barbe,94
bearing,palier,73
bears,ours,107
beast,la bête,72
beaten,battu,50
beauty,beauté,203
because,car,187
become,devenir,140
bedford,Bedford,48
before,avant,834
beggar,mendiant,63
begin,commencer,112
behalf,nom,45
behind,derrière,120
behold,voir,158
being,étant,664
believe,croyez,232
belike,être comme,42
below,au dessous de,54
benefit,avantage,39
besides,outre,108
betray,trahir,37
better,mieux,591
between,entre,237
beyond,au-delà,60
birth,naissance,87
bishop,évêque,44
bitter,amer,74
black,noir,172
blame,faire des reproches,83
bless,bénir,105
blessing,bénédiction,46
blest,heureux,54
blind,aveugle,85
blood,du sang,665
blows,coups,71
blunt,cru,68
blush,rougir,50
bodies,corps,44
bones,des os,76
borne,supporté,83
bottom,bas,103
bought,acheté,51
bound,lié,178
bounty,prime,41
brain,cerveau,85
brains,cerveaux,45
brave,courageux,160
breast,Sein,98
breath,souffle,207
breed,race,50
brief,bref,91
bright,brillant,72
bring,apporter,444
broke,cassé,86
brook,ruisseau,80
brother,frère,560
brought,apporté,196
brows,sourcils,43
burden,fardeau,46
buried,enterré,57
burning,brûlant,51
business,Entreprise,230
cannot,ne peux pas,762
capitol,Capitole,43
captain,capitaine,171
cardinal,cardinal,146
cares,se soucie,36
carry,porter,87
castle,Château,104
catch,capture,71
cause,cause,335
cease,cesser,46
certain,certain,175
chain,chaîne,64
chair,chaise,40
challenge,défi,48
chamber,chambre,124
chance,chance,104
change,changement,156
charge,charge,200
charity,charité,54
chaste,chaste,39
cheek,joue,76
cheer,acclamation,73
chide,gronder,49
chief,chef,108
child,enfant,236
choice,choix,70
church,église,65
cinna,cinna,40
citizen,citoyenne,186
civil,civil,50
claim,prétendre,62
clarence,clarté,202
claud,claud,124
claudio,Claudio,174
clear,clair,60
clifford,Clifford,134
close,proche,105
cloten,cailloter,104
clothes,vêtements,40
clouds,des nuages,59
clown,pitre,350
college,Université,226
colour,Couleur,75
comes,vient,616
comfort,confort,187
coming,venir,158
cominius,cominius,103
command,commander,170
commanded,commandé,40
commend,saluer,88
commercial,commercial,221
commission,commission,47
commit,commettre,39
common,commun,153
companion,un compagnon,37
company,entreprise,204
complete,Achevée,246
complexion,complexion,40
condition,état,57
conduct,conduite,48
confess,avouer,125
conscience,conscience,120
consent,consentement,94
consider,considérer,49
constable,gendarme,85
constant,constant,49
contempt,mépris,47
content,contenu,157
contrary,contraire,47
copies,copies,446
copyright,droits d'auteur,228
could,pourrait,624
council,conseil,51
counsel,Conseil,132
count,compter,111
counterfeit,contrefaire,52
countess,comtesse,121
country,pays,139
courage,courage,64
course,cours,157
court,tribunal,257
courtesy,courtoisie,65
cousin,cousin,257
coward,lâche,85
crave,demander,42
creature,créature,68
credit,crédit,51
cromwell,Cromwell,44
cross,traverser,75
crown,couronne,259
cruel,cruel,72
cunning,ruse,75
cupid,Cupidon,40
curse,malédiction,100
custom,Douane,44
dagger,dague,42
damned,damné,44
dance,Danse,72
danger,danger,100
darkness,obscurité,39
daughter,fille,414
deadly,mortel,51
dearest,très cher,56
dearly,chèrement,42
death,décès,862
deeds,actes,118
defend,défendre,66
degree,diplôme,47
delight,délice,56
deliver,livrer,100
demand,demande,59
denied,refusé,55
depart,partir,65
desert,désert,44
deserve,mériter,65
desire,le désir,216
despair,désespoir,54
desperate,désespéré,50
despite,malgré,52
device,dispositif,43
devil,diable,217
devise,concevoir,49
didst,didst,183
dinner,dîner,90
discourse,discours,60
discover,découvrir,35
disgrace,disgrâce,48
dishonour,déshonorer,39
dispatch,envoi,72
displeasure,mécontentement,40
disposition,disposition,44
distributed,distribué,443
divine,Divin,49
doctor,docteur,110
doing,Faire,75
dolabella,Dolabella,39
doors,des portes,62
double,double,90
doubt,doute,170
download,Télécharger,221
dramatis,dramatis,36
drawn,tiré,90
dread,crainte,49
dreadful,horrible,59
dream,rêver,118
dreams,rêves,46
drink,boisson,155
drops,gouttes,53
drown,noyer,43
drums,tambours,40
drunk,ivre,69
duncan,Duncan,37
durst,durst,51
dwell,habiter,39
dying,en train de mourir,48
early,de bonne heure,49
earth,Terre,304
edmund,Edmund,71
effect,effet,72
egypt,Egypte,46
either,Soit,166
elbow,coude,50
elder,aîné,43
embrace,embrasse,68
emilia,Émilie,149
emperor,empereur,91
empty,vide,51
encounter,rencontre,52
endure,supporter,76
enemies,ennemis,101
enemy,ennemi,157
enjoy,prendre plaisir,47
enobarbus,énobarbus,154
enough,assez,311
enter,entrer,2350
entertain,divertir,39
entertainment,divertissement,37
entreat,supplier,111
equal,égal,45
estate,biens,49
eternal,éternel,38
every,chaque,492
everything,tout,42
excellent,excellent,117
except,sauf,38
excuse,excuse,77
execution,exécution,48
exeter,Exeter,98
exeunt,sortir,1035
